,id,avatar_prompt_id,identifier,response_text,response_score,response_feedback,comment,id,turk_response_text,prompt_type,assignment,identifier,comment,response_round_score
677,16,16,6a,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",3.33,Addresses their problem but does not offer solutions. Focuses on your problem due to their shortcomings.,,61,I hope everything was figured out. I would like to ask a few questions about the mission. I heard your flight was held up and that impacts how many of your soldiers are out there.,rewrite,3137ONMDKG55SOUPVZ46INTDKW3GE9a,6a,,3
1212,29,29,9b,"It's not the ideal solution, I know, but unless we come to a compromise with manning or supplies I will have no choice.",2.67,Shows the frustration of the American officer and show how he feels trapped just like the Chinese Officer. shows how they need to accomplish it together or not at all. overall best option.,,242,"This isn’t a good situation, and I realize the solution to the problem isn’t perfect, but if we don’t come to an agreement my hands are tied.",rewrite,31N2WW6R9RQW4QIXVVHSHBP4SSX3FQb,9b,,3
1444,37,37,12a,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",3.0,"This answer isn't bad, but in demonstrating eagerness to discuss the problem right off the bat it may be conveyed as disrespect.",,622,"Now that we're alone, why did you suggest setting up two aid stations?",rewrite,3XXU1SWE8MV5R72S1SDH1CG6S050AKa,12a,,3
126,5,5,2b,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",3.0,This is an acceptable answer because it clearly expresses that your have taken charge of the U.S. element.,,416,"No, there he isn't. I am the officer in charge of the United States. Coalition component.",rewrite,3L6L49WXW0XPKP8CPX9254QXHYJ45Xb,2b,,3
254,7,7,3a,I’d rather not say.,1.0,This anser is the worst because it is unnecessarily ambiguous. It only serves to increase suspicion between U.S. and Chinese.,,1423,"I'm sorry, but I can't say.",rewrite,3DH6GAKTYYP3PA6LLS4PAX1ZDYEZY8a,3a,,1
1283,32,32,10b,Can you explain to me why we are setting up two individual aid stations?,2.0,"Asking the team leader to explain to you will likely make him angry that he has to justify himself to a peer, and doing this in public will most likely embarrass him.",,972,Can you tell me why we need to set up two separate aid stations?,rewrite,3HWRJOOET528IT3GQZYN71CG87CSEKb,10b,,1
1489,38,38,12b,Thank you for meeting with me. I just had some questions about the part of the plan concerning the aid stations? Why are you doing it that way?,4.67,Good job expressing thanks for meeting with him. Phrasing your issues with the plans as questions will also reaffirm his status as the leader of his team and prompt him to be more gracious in discussing the plans.,,626,Why are you following the plan of the aid stations if I may ask?,rewrite,3YWRV122CSZ7O5LT217NUSYII188UQb,12b,,5
1127,26,26,8c,There has to be a way. What was name of the man you were talking to? If he is in your chain of command I'd like to talk to him.,2.67,"While suitable to ask for someone else to approach, with a more direct tone to go to the Chain of Command it is less appropriate.",,1085,"Where there's a will, there's a way.  Is the man you were speaking with your chain of command?  If so I'd like to speak with him.",rewrite,3EQHHY4HQSS5W51WKYB3ETN073JG5Nc,8c,,3
1322,33,33,10c,I don't have any questions right now.,1.0,"Although waiting to speak to the team leader when he is in private is culturally appropriate, this response is too passive and does not even arrange for a later discussion.",,1013,I have no further questions currently,rewrite,3QY7M81QH7MPLVBYYIBFA5TP5QU7KVc,10c,,1
996,23,23,7d,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",3.0,The anger is expressive but accurate for the situation since an emotional response is appropriate,,1558,"Huh?  Like I said, we only need men, not more supplies.  We can't complete the mission without your help.",rewrite,3B2X28YI3WF5OSTZ9VTU5OA3NL2B6Hd,7d,,3
760,18,18,6c,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",3.67,More of a mutual solution rather than offering something first.,,119,"I wasn't aware the plane was delayed. Don't worry, we have plenty of supplies here to complete the mission together until it does. ",rewrite,3F1567XTNW5FAHXMQKTWKNW4ZM9Q9Hc,6c,,5
534,13,13,5a,"I'd really prefer just to wait until the brief, if that is ok.",1.0,It is very direct and centered on the speaker's discomfort with sharing information rather than make up a reason or simply share. Depending on the tone could display distrust.,,697,"If it is okay, I would rather wait until the brief happens.",rewrite,3HMIGG0U4L6O5E5YC24CXD4VEPDY88a,5a,,1
1102,26,26,8c,There has to be a way. What was name of the man you were talking to? If he is in your chain of command I'd like to talk to him.,2.67,"While suitable to ask for someone else to approach, with a more direct tone to go to the Chain of Command it is less appropriate.",,1105,"I believe there is a way around this delay. Who were you talking to in your chain of command. I would like to talk with him, also, so we can all agree on a change of plan to accomplish the mission.",rewrite,3JMSRU9HQIUOALKKKU3SIOWN7BEEVJc,8c,,3
1548,40,40,13a,The plan was to use one large aid station with American medics running it. How is this way better?,2.67,"You simply restated the original plan, which the team leader elected to change. This raises the probability of an impasse since you are not superior to the Chinese team leader.",,1187,We tried to use only one aid station with medics controlling it. Is this way better?,rewrite,3GNCZX450IN8FO6CIDS7GDHE08FPAEa,13a,,3
1364,34,34,10d,Can I talk with you in private once questions are over?,5.0,Good job! this answer both demonstrates respect for the team leader's image in front of his subordinates and accomplishes your intent of discussing the plan.,,934,When I have a few questions; may I talk to you in private?,rewrite,32RIADZISS4QQR6N1TMAYF0PVIJ4SRd,10d,,5
1101,26,26,8c,There has to be a way. What was name of the man you were talking to? If he is in your chain of command I'd like to talk to him.,2.67,"While suitable to ask for someone else to approach, with a more direct tone to go to the Chain of Command it is less appropriate.",,1145,,rewrite,3RXCAC0YIRPOJNKYIWI6QDXR9TLG8Qc,8c,,3
555,13,13,5a,"I'd really prefer just to wait until the brief, if that is ok.",1.0,It is very direct and centered on the speaker's discomfort with sharing information rather than make up a reason or simply share. Depending on the tone could display distrust.,,703,That information will be provided in the briefing.,rewrite,3IAS3U3I0FGH6RAYMTHRFBTR7HNB2Pa,5a,,1
977,22,22,7c,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",2.67,"Focuses on the compromise, but has a bit of a harsher tone and almost shames the Chinese officer into complying.",,1521,We have to get these supplies to those refugees. There has to be a way to work this out.,rewrite,374TNBHA8BVUBI5UYWLCJ4PV8V1YQLc,7c,,3
1004,23,23,7d,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",3.0,The anger is expressive but accurate for the situation since an emotional response is appropriate,,1622,"If we had enough men, we wouldn't ask for your help, but we don't. All we need is some men, we already have the necessary supplies.",rewrite,3S06PH7KSR43W3QMHL8J5I7MIV71DPd,7d,,3
1152,27,27,8d,What about the fellow who was here earlier? Can I talk to him? It seemed like you both were talking about this.,4.0,"Gently tells the PLA officer what your intentions are. However, it has room to be misinterpreted as callous.",,1134,What about the solider you were speaking to earlier. You both appeared to be talking about this? May I speak with him?,rewrite,3PWWM24LHSYY4TCRJHXHO93QZAO827d,8d,,5
145,6,6,2c,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,5.0,"This is the best answer because it provides an excuse for the absence of your boss. Failing to do so would result in a loss of face for the Chinese Captain, because it would demonstrate that your officer does not have time to meet Captain Wang.",,54,Captain Heist got called away on important unexpected business and sends his regrets.  I'm now in charge of this team and you can deal with me directly in his place.,feedback,3O7L7BFSHEPJOF0KLN493Z6TXBGEIMc,2c,,5
417,11,11,4b,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,2.33,"Has an air of politeness to it that implies if the Chinese officer really needed the information, that you will give it, but it would be inconvenient to do so.",,911,Can we discuss this later at the mission brief? I'm preparing for it right now.,rewrite,3RWE2M8QWHACBQWHAWIMNI06R7S0NSb,4b,,1
1346,34,34,10d,Can I talk with you in private once questions are over?,5.0,Good job! this answer both demonstrates respect for the team leader's image in front of his subordinates and accomplishes your intent of discussing the plan.,,982,Can we talk at a more opportune time?,rewrite,3KJYX6QCM9BWL16CYVEJF49FCJ1JV0d,10d,,5
710,17,17,6b,"Well, I wanted to come over and share some of what we are planning for the mission and try and collaborate more closely since I just found out your plane was delayed.",2.0,Worst option since the tone is quite casual and seems to be flippant of the Chinese Officers situation.,,66,"I heard your plane was delayed, so I thought I'd come over so we can discuss the plans for the mission, and try collaborating in-person",rewrite,3137ONMDKG55SOUPVZ46INTDKWRGEXb,6b,,1
736,17,17,6b,"Well, I wanted to come over and share some of what we are planning for the mission and try and collaborate more closely since I just found out your plane was delayed.",2.0,Worst option since the tone is quite casual and seems to be flippant of the Chinese Officers situation.,,122,"Since there is a delay in your departure, I needed to stop by and discuss the plans for the mission that we can come together on.",rewrite,3FIUS151DV23C2QG1UUUIQEPXCVGG3b,6b,,1
396,10,10,4a,"I appreciate you looking out for your team, but you will get all of it soon when we have the brief this afternoon. ",5.0,"Moderately appropriate, displays understanding and empathy towards the officer and his need to know, but is direct in telling him he will not comply.",,808,This afternoon we will have a brief and I am glad that you are caring for your team.,rewrite,39RP059MEHT7DVERWB0BUK7PDLXMBIa,4a,,5
459,11,11,4b,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,2.33,"Has an air of politeness to it that implies if the Chinese officer really needed the information, that you will give it, but it would be inconvenient to do so.",,812,Would it be OK if we put this off until the actual mission briefing? Right now I am busy preparing myself for that.,rewrite,3A4NIXBJ76ZJQ403NOP58N3UPGOLMJb,4b,,1
1119,26,26,8c,There has to be a way. What was name of the man you were talking to? If he is in your chain of command I'd like to talk to him.,2.67,"While suitable to ask for someone else to approach, with a more direct tone to go to the Chain of Command it is less appropriate.",,1157,There must be away. Who was the man you were talking to? I would like to speak to him if he is higher ranking.,rewrite,3TY7ZAOG5FKB3KBEDJQ6VQJ2XCT0KTc,8c,,3
547,13,13,5a,"I'd really prefer just to wait until the brief, if that is ok.",1.0,It is very direct and centered on the speaker's discomfort with sharing information rather than make up a reason or simply share. Depending on the tone could display distrust.,,661,"If you don't mind, I would rather wait until our meeting. ",rewrite,37TD41K0AH9TLVJ2U8SSHDCDNWOCS2a,5a,,1
1590,42,42,14a,"Our medics are better at doing this sort of thing, and your men are better at site security.",2.67,"You mentioned each team's relative strengths, but unless you incentivize their job's importance and appeal to the leader's pride, they will keep doing what they were doing.",,1246,"Our medics are better at doing this kind of work, and your men are more suitable at site security.",rewrite,34QN5IT0TZRR8J9D4UT35LAB2CZ08Aa,14a,,3
987,22,22,7c,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",2.67,"Focuses on the compromise, but has a bit of a harsher tone and almost shames the Chinese officer into complying.",,1593,You must see that it is imperative that these refugees receive the supplies. Is there someway we can work out an agreement for some of your men to help us?,rewrite,3J88R45B2GYKB1E5TNKL0LSC1TEXPGc,7c,,3
1218,29,29,9b,"It's not the ideal solution, I know, but unless we come to a compromise with manning or supplies I will have no choice.",2.67,Shows the frustration of the American officer and show how he feels trapped just like the Chinese Officer. shows how they need to accomplish it together or not at all. overall best option.,,281,"You will lead me no other choice unless we can come to a solution quickly. I understand it is definitely not ideal, but surely there can be a compromise with manning and supplies.",rewrite,3KXIR214I4GXLSPP7E747XNLXON24Pb,9b,,3
253,7,7,3a,I’d rather not say.,1.0,This anser is the worst because it is unnecessarily ambiguous. It only serves to increase suspicion between U.S. and Chinese.,,1453,I'm not in a position to voice.,rewrite,3I02618YA06SUXKAOI9YGET87C6PURa,3a,,1
326,9,9,3c,He is busy today,3.0,"This answer is palatable because it offers an excuse for your senior officer's absence, but also offensive because it implies that your superior officer's time is more important than a Chinese officer of the same rank.",,1470,He is indisposed today.,rewrite,34BBWHLWHABD5FMB6NYFP5DT6DCIWVc,3c,,3
508,12,12,4c,Not all of the details have been finalized so I'm not sure if that it would be of any help to you now.,2.33,The response is curt and dismissive.,,792,"We haven't finalized the details yet, so I can't guarantee that you'll find it useful.",rewrite,33F859I566DLLHDG5EKY2FZTWZRBHRc,4c,,1
1559,41,41,13b,What benefit does your way have? If we split up the supplies we won't be able to give every person what they need at a single station.,2.67,"By asking for the team leader's reasoning instead of calling him out, you create a nonthreatening basis for discussion and also offer a valid point of your own.",,1182,Is your way better?  The supplies should  be divided as we cannot afford to give it to everyone at a single station.,rewrite,3P59JYT76LKH2D4FMF8CF5ZDDN3T2Bb,13b,,3
1345,34,34,10d,Can I talk with you in private once questions are over?,5.0,Good job! this answer both demonstrates respect for the team leader's image in front of his subordinates and accomplishes your intent of discussing the plan.,,1038,"Can we speak in private, when the questions are over.",rewrite,3VJ40NV2QINV9KTK9D69MI2GESWOT9d,10d,,5
1405,36,36,11b,Why does it have to be in private? We don't have a ton of time. ,1.33,"Questioning the team leader's authority will be seen as an attack on his legitimacy as a leader, and will set the stage for future hostile interactions.",,538,Does this have to be in private? We have little time.,rewrite,3Z4XG4ZF48RZ59FO76IAEZXMCJL8XEb,11b,,1
815,19,19,6d,"I'm sorry to interrupt, it sounded important. Anything I can do to help? With your plane being delayed I'd like to do my best to make the mission go smoothly.",3.0,You are offering a solution to their problem while keeping it at the lowest level. This helps save face for the officer by solving their problem for them. Good for long term orientation as well.,,240,I would like to offer my assistance to make the mission go smoothly despite the plane being delayed.,rewrite,3ZQIG0FLQEGIRL6B5UXY4U3NEFVVWSd,6d,,3
990,23,23,7d,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",3.0,The anger is expressive but accurate for the situation since an emotional response is appropriate,,1642," we have plenty of supplies, we need your men to help us. can't do it without you since we are stretched so thin",rewrite,3U5NZHP4LR2NPBEQOJ2ZXZ4ID3WPHGd,7d,,3
759,18,18,6c,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",3.67,More of a mutual solution rather than offering something first.,,67,Everything will work out. There's plenty of supplies here so we can do the mission together until it arrives,rewrite,3137ONMDKG55SOUPVZ46INTDKWRGEXc,6c,,5
1317,33,33,10c,I don't have any questions right now.,1.0,"Although waiting to speak to the team leader when he is in private is culturally appropriate, this response is too passive and does not even arrange for a later discussion.",,1005,I currently have no questions.,rewrite,3OVR4I9USPJEDBRA9PX53FLODUZQ4Pc,10c,,1
1552,41,41,13b,What benefit does your way have? If we split up the supplies we won't be able to give every person what they need at a single station.,2.67,"By asking for the team leader's reasoning instead of calling him out, you create a nonthreatening basis for discussion and also offer a valid point of your own.",,1214,How is your way better? If we split up the supplies we won't be able to give every person what they need at a single station.,rewrite,3ATPCQ38J8A2O2YD90OQT4AQ4DEAYPb,13b,,3
1085,25,25,8b,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",4.0,Appeals to the mission to help refugees while simultaneously in a matter of fact way explains what the speaker needs to do to proceed.,,1080,My orders are to get these supplies to the refugees.  I need to find men to accomplish this mission even if it means working around you.,rewrite,3CTOC39K37QUAB5GGXB39QTCQ13J7Hb,8b,,5
280,8,8,3b,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",4.67,This answer does a good job of providing a reasonable excuse without revealing any internal information.,,1352,He was reassigned to another mission and so could not attend.,rewrite,3SNLUL3WO4N23C5CWQGRZXKO222ULVb,3b,,5
750,18,18,6c,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",3.67,More of a mutual solution rather than offering something first.,,151,"Ah, it is related to the flight delay?  We have sufficient supplies so we can finish the mission together until it gets here.  I'm sure we can make this work.",rewrite,3L0KT67Y8EG6OYK7Q0AHE44WQJPYSDc,6c,,5
817,19,19,6d,"I'm sorry to interrupt, it sounded important. Anything I can do to help? With your plane being delayed I'd like to do my best to make the mission go smoothly.",3.0,You are offering a solution to their problem while keeping it at the lowest level. This helps save face for the officer by solving their problem for them. Good for long term orientation as well.,,184,I'm sorry to interrupt but I heard the plane was delayed. Anything I can do to help or make this mission go smoothly?,rewrite,3QXNC7EIPIVRMOSN9MZH5H5MMIL90Cd,6d,,3
1464,38,38,12b,Thank you for meeting with me. I just had some questions about the part of the plan concerning the aid stations? Why are you doing it that way?,4.67,Good job expressing thanks for meeting with him. Phrasing your issues with the plans as questions will also reaffirm his status as the leader of his team and prompt him to be more gracious in discussing the plans.,,593,I appreciate your time meeting with me. I have questions concerning the plan with the aid stations and am curious about why you are doing it that way?,rewrite,3KB8R4ZV1E77LLI5L82GHFNSHZ6BGKb,12b,,5
501,12,12,4c,Not all of the details have been finalized so I'm not sure if that it would be of any help to you now.,2.33,The response is curt and dismissive.,,927,The information that I have is not complete at the moment.,rewrite,3WI0P0II61SRP8P3FFNYB9PZMTPRDZc,4c,,1
1043,24,24,8a,Well I have no choice but to go to my commander or yours to try and get this to work. I'm sorry to have to do that but I don't see an alternative.,1.0,Does not attempt to come up with a solution and distances the user from the chinese officer,,1095,I have no choice but to speak to one of our commanders. I apologize for needing to do so but I have no other option.,rewrite,3HL8HNGX451IJS7DC4I28OSQSK99FFa,8a,,1
434,11,11,4b,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,2.33,"Has an air of politeness to it that implies if the Chinese officer really needed the information, that you will give it, but it would be inconvenient to do so.",,794,"I understand you have some questions and concerns, which I'm happy to answer you very soon once the briefing starts. That is what I am trying to prepare myself for right now.",rewrite,34MAJL3QP4NM6AL8BEL9Q7SD32034Eb,4b,,1
1109,26,26,8c,There has to be a way. What was name of the man you were talking to? If he is in your chain of command I'd like to talk to him.,2.67,"While suitable to ask for someone else to approach, with a more direct tone to go to the Chain of Command it is less appropriate.",,1089,It has to be a way. What was the name of the man you spoke to? I would like to speak to him if he's in your chain of command.,rewrite,3EWIJTFFVO78HKJ4HXF3XV6XDFYE0Oc,8c,,3
1205,29,29,9b,"It's not the ideal solution, I know, but unless we come to a compromise with manning or supplies I will have no choice.",2.67,Shows the frustration of the American officer and show how he feels trapped just like the Chinese Officer. shows how they need to accomplish it together or not at all. overall best option.,,329,"It's not ideal, but we need to come to a compromise on manning or supplies.",rewrite,3ZPBJO59KP1E0EB0JAB4X5NTZKTDHQb,9b,,3
1051,24,24,8a,Well I have no choice but to go to my commander or yours to try and get this to work. I'm sorry to have to do that but I don't see an alternative.,1.0,Does not attempt to come up with a solution and distances the user from the chinese officer,,1083,"I'm sorry to do this, but my only option is to notify my commander or yours.  We have to get this mission accomplished.",rewrite,3EQHHY4HQSS5W51WKYB3ETN073JG5Na,8a,,1
1554,41,41,13b,What benefit does your way have? If we split up the supplies we won't be able to give every person what they need at a single station.,2.67,"By asking for the team leader's reasoning instead of calling him out, you create a nonthreatening basis for discussion and also offer a valid point of your own.",,1194,I don't see the benefit in splitting up supplies. If we do that then we wont be able to give every person what they need at a single station.,rewrite,3DEL4X4EL6LEKF66KAG4DCLO5YJXYCb,13b,,3
366,10,10,4a,"I appreciate you looking out for your team, but you will get all of it soon when we have the brief this afternoon. ",5.0,"Moderately appropriate, displays understanding and empathy towards the officer and his need to know, but is direct in telling him he will not comply.",,823,"I appreciate your concern, but you will receive the information at the brief.",rewrite,3EG49X351UCC1VW0ERLCUL1V6OV6XQa,4a,,5
124,5,5,2b,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",3.0,This is an acceptable answer because it clearly expresses that your have taken charge of the U.S. element.,,11,"No, he isn’t there. I am in charge of the US component of the coalition.",rewrite,3NKQQ8O39Y5J50HKJ9I3GKCJRU0UDFb,2b,,3
445,11,11,4b,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,2.33,"Has an air of politeness to it that implies if the Chinese officer really needed the information, that you will give it, but it would be inconvenient to do so.",,857,Is it okay if this waits until the mission brief? I am busy preparing for it right now.,rewrite,3JZQSN0I3QAXY2ULQAOC05EDWXZFG7b,4b,,1
1201,29,29,9b,"It's not the ideal solution, I know, but unless we come to a compromise with manning or supplies I will have no choice.",2.67,Shows the frustration of the American officer and show how he feels trapped just like the Chinese Officer. shows how they need to accomplish it together or not at all. overall best option.,,263,"I'm aware it isn't the best solution, but if we can't come to an agreement about manning or supplies, I won't have a choice.",rewrite,37M28K1J0QDCTD3EN0NNJHV2R97JA6b,9b,,3
771,18,18,6c,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",3.67,More of a mutual solution rather than offering something first.,,199,Is this pertaining to the plane being delayed?  There are supplies enough here that we can still make this mission happen until the plane gets here.  We can make this work.,rewrite,3TPZPLC3M0C8V37R9YDXT538UYI3PRc,6c,,5
594,14,14,5b,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",5.0,The response is direct and does not seem to hold ulterior motives.,,746,"We do we have food,water, and hospital equipment in the crates right now which we are giving to the locals.",rewrite,3RXCAC0YIRPOJNKYIWI6QDXR9T08GXb,5b,,5
135,5,5,2b,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",3.0,This is an acceptable answer because it clearly expresses that your have taken charge of the U.S. element.,,380,The commander will not be here. I will be in charge for the component of the U.S. coalition,rewrite,384PI804XS19R3OMISZ8MCACE6DS09b,2b,,3
402,10,10,4a,"I appreciate you looking out for your team, but you will get all of it soon when we have the brief this afternoon. ",5.0,"Moderately appropriate, displays understanding and empathy towards the officer and his need to know, but is direct in telling him he will not comply.",,889,"When we brief this afternoon, you will get all of the information. Thank you for looking out for your team.",rewrite,3O7L7BFSHEPJOF0KLN493Z6TZAYEI4a,4a,,5
898,21,21,7b,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",4.33,Focuses on the compromise and the sentiment that they cannot get the mission done without them. Has a determined tone that there is a way to make things work. A better option since it does not have as great of an emotional response.,,1596,I think we can figure this out without going to our superiors. We need eachother to accomplish this task so lets try to figure something out.,rewrite,3JZQSN0I3QAXY2ULQAOC05EDWX4GFDb,7b,,5
941,22,22,7c,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",2.67,"Focuses on the compromise, but has a bit of a harsher tone and almost shames the Chinese officer into complying.",,1553,Are you sure there's nothing we can do? Without manpower we can't deliver these supplies to the refugees.,rewrite,3AQF3RZ558IV195FEXFQOE1O2J3F6Cc,7c,,3
1652,44,44,14c,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",4.33,"Good job! In addressing the Chinese team's strengths and demonstrating respect for them by aligning them with important tasks, you will appeal to the team leader's inherent pride in his group's abilities.",,1299,"Securing the site and protecting the victims was the most important task, as I believed when I made the plan. I wanted your men to handle security because they have good experience at that. However, when it comes to running the aid station, our supplies are better suited for that.",rewrite,3R2UR8A0IAG2Q124EN76BLNMROJXO0c,14c,,5
65,4,4,2a,"No, he is not here. I am taking his place.",1.0,This answer is too curt and could be insulting to a Chinese officer senior in rank to you because you provide no explanation for the absence of your superior officer.,,358,They aren't able to help ,rewrite,351SEKWQS0H0SSCBA7RHPAVPG64DMBa,2a,,1
3,4,4,2a,"No, he is not here. I am taking his place.",1.0,This answer is too curt and could be insulting to a Chinese officer senior in rank to you because you provide no explanation for the absence of your superior officer.,,433,He cannot be here today. I will be taking charge.,rewrite,3OHYZ19UGC5QUOUB3DFSRDCOQ4HAOIa,2a,,1
272,8,8,3b,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",4.67,This answer does a good job of providing a reasonable excuse without revealing any internal information.,,1418,He was assigned another mission at the last minute and won't be here today.,rewrite,3S06PH7KSR43W3QMHL8J5I7MIV41DMb,3b,,5
86,5,5,2b,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",3.0,This is an acceptable answer because it clearly expresses that your have taken charge of the U.S. element.,,386,"He is currently away, I am the leading officer of the US component of the coalition. ",rewrite,3DR23U6WE5E9XTGVFZ3DH682AQ8ETDb,2b,,3
1296,32,32,10b,Can you explain to me why we are setting up two individual aid stations?,2.0,"Asking the team leader to explain to you will likely make him angry that he has to justify himself to a peer, and doing this in public will most likely embarrass him.",,996,May you share your reasoning behind setting up two aid stations? ,rewrite,3NQL1CS15R8MGQ1BKVFMPRO3PNBYVAb,10b,,1
221,7,7,3a,I’d rather not say.,1.0,This anser is the worst because it is unnecessarily ambiguous. It only serves to increase suspicion between U.S. and Chinese.,,1462,I don't want to discuss it.,rewrite,3PEIJLRY6TTAVAB659YGSF08UQUWXNa,3a,,1
60,4,4,2a,"No, he is not here. I am taking his place.",1.0,This answer is too curt and could be insulting to a Chinese officer senior in rank to you because you provide no explanation for the absence of your superior officer.,,49,"Sir, my apologies but he is not here. I am the officer in charge. How may I help you",feedback,3NGMS9VZTLIRK2YQFQIUIKE1TK2FFDa,2a,,1
205,6,6,2c,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,5.0,"This is the best answer because it provides an excuse for the absence of your boss. Failing to do so would result in a loss of face for the Chinese Captain, because it would demonstrate that your officer does not have time to meet Captain Wang.",,366,Unfortunately he was not able to make it today.  I will be taking his place,rewrite,35BLDD71I6XMLGBGGHH53YX5VHUVZDc,2c,,5
333,9,9,3c,He is busy today,3.0,"This answer is palatable because it offers an excuse for your senior officer's absence, but also offensive because it implies that your superior officer's time is more important than a Chinese officer of the same rank.",,1353,He is otherwise engaged.,rewrite,3SNLUL3WO4N23C5CWQGRZXKO222ULVc,3c,,3
336,9,9,3c,He is busy today,3.0,"This answer is palatable because it offers an excuse for your senior officer's absence, but also offensive because it implies that your superior officer's time is more important than a Chinese officer of the same rank.",,1383,He is otherwise occupied.,rewrite,33PPO7FECVFEW9MKPSTPXHO8ZXUIDAc,3c,,3
1622,43,43,14b,Our American medics are trained at running aid stations and treating patients. They have much more experience than your medics. Our medics should handle the flow of patients.,1.67,"This might be true, but mentioning this to the team leader will make him feel offended and angry.",,1286,Our American pharmaceuticals are trained at aid stations and treat patients . You have a lot more experience than your physicians . Our physicians should handle patients ' flows .,rewrite,3N8OEVH1FRQFWSOCDWKAS8WTFKGOOOb,14b,,1
1467,38,38,12b,Thank you for meeting with me. I just had some questions about the part of the plan concerning the aid stations? Why are you doing it that way?,4.67,Good job expressing thanks for meeting with him. Phrasing your issues with the plans as questions will also reaffirm his status as the leader of his team and prompt him to be more gracious in discussing the plans.,,545,Thank you for agreeing to speak with me. I just wanted to ask why you think 2 aid stations will be necessary?,rewrite,30LB5CDZNCA6SFA0DKTGI57F1LBZ0Jb,12b,,5
1132,27,27,8d,What about the fellow who was here earlier? Can I talk to him? It seemed like you both were talking about this.,4.0,"Gently tells the PLA officer what your intentions are. However, it has room to be misinterpreted as callous.",,1082,Can I talk to the fellow who was here earlier?  You both were kinda talking about this.,rewrite,3CTOC39K37QUAB5GGXB39QTCQ13J7Hd,8d,,5
1347,34,34,10d,Can I talk with you in private once questions are over?,5.0,Good job! this answer both demonstrates respect for the team leader's image in front of his subordinates and accomplishes your intent of discussing the plan.,,1050,Can we talk in private after this briefing?,rewrite,3ZAK8W07I4EP6GGQ7XU81DS0Z3O0UNd,10d,,5
185,6,6,2c,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,5.0,"This is the best answer because it provides an excuse for the absence of your boss. Failing to do so would result in a loss of face for the Chinese Captain, because it would demonstrate that your officer does not have time to meet Captain Wang.",,426,I will be in charge today as he had unexpected business to tend to.,rewrite,3LRKMWOKB5HDOPDES7XU1T0UYK9Z2Jc,2c,,5
427,11,11,4b,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,2.33,"Has an air of politeness to it that implies if the Chinese officer really needed the information, that you will give it, but it would be inconvenient to do so.",,788,I am getting ready right now but will be providing all the information you need at the meeting.,rewrite,32N49TQG3GILK8384P16M56WMWIVA7b,4b,,1
1024,23,23,7d,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",3.0,The anger is expressive but accurate for the situation since an emotional response is appropriate,,1574,We have plenty of supplies we just need your people to help because we don't have enough manpower on our own.,rewrite,3EKVH9QMEY4ALO8I0P8XA1HRA1QD2Nd,7d,,3
